isin,name,company_name,currency_code,category,fund_type,is_index_fund,managed_type,total_fee,management_fee,risk,rating,sharpe_ratio,standard_deviation,recommended_holding_period,capital,number_of_owners
DK0060485605,Danske Invest Globala Realräntor SEK h,Danske Invest,SEK,Ränte - övriga obligationer,INTEREST_FUND,false,ACTIVE,0.65,0.5,3,,-0.74,5.05,THREE_YEAR,615914941.12,215
DK0060485795,Danske Invest USA Index KL SEK,Danske Invest,SEK,"USA, Mix bolag",EQUITY_FUND,true,INDEX,0.35,0.17,4,3,0.81,14.38,THREE_YEAR,1274955217,663
DK0060486090,Danske Invest Tillväxtmarknadsobl SEK h,Danske Invest,SEK,Ränte - övriga obligationer,INTEREST_FUND,false,ACTIVE,1.03,0.9000000000000001,3,,0.8,6.460000000000001,THREE_YEAR,9404114359.57,278
DK0061135910,Danske Invest Global Emerging Market SEK,Danske Invest,SEK,Tillväxtmarknader,EQUITY_FUND,false,ACTIVE,2.2,1.5,4,2,0.59,14.02,AT_LEAST_FIVE_YEARS,507708952.31,227
DK0061270295,Danske Invest Index Europe Restr SEK,Danske Invest,SEK,"Europa, Mix bolag",EQUITY_FUND,true,INDEX,0.36,0.17,4,3,0.61,10.31,THREE_YEAR,23474447.3,114
DK0061270964,Danske Invest Index USA Restr SEK,Danske Invest,SEK,"USA, Mix bolag",EQUITY_FUND,true,INDEX,0.35,0.17,4,4,0.85,16.25,THREE_YEAR,45176857.98,157
DK0064195267,Danske Invest Defence & Security Acc SEK,Danske Invest,SEK,"Branschfond, Industrimaterial",EQUITY_FUND,false,ACTIVE,0.66,0.37,4,,,,THREE_YEAR,477096392.25,1111
FI0008800107,Evli Finland Select B,Evli,EUR,Finland,EQUITY_FUND,false,ACTIVE,1.8900000000000001,1.8000000000000003,4,4,0.45,10.59,AT_LEAST_FIVE_YEARS,5132570822.31,267
FI0008800511,Evli Short Corporate Bond B,Evli,EUR,"Ränte - euro obligationer, Företag korta",INTEREST_FUND,false,ACTIVE,0.6,0.55,2,5,0.11,6.570000000000001,THREE_YEAR,27018160526.26,295
FI0008801188,Evli Global B,Evli,EUR,"Global, Flexibel",EQUITY_FUND,false,ACTIVE,1.7000000000000002,1.6,4,3,0.08,12.950000000000001,AT_LEAST_FIVE_YEARS,1396231641.31,4188
FI0008801212,Evli Finland Mix B,Evli,EUR,"Blandfond - euro, Balanserad",MIXED_FUND,false,ACTIVE,1.8900000000000001,1.83,3,4,0.25,6.849999999999999,THREE_YEAR,208316992.4,114
FI0008802897,Fondita Global Megatrends B,Fondita,EUR,"Global, Flexibel",EQUITY_FUND,false,ACTIVE,2.2,2,4,1,-0.06,14.859999999999998,AT_LEAST_FIVE_YEARS,669591814.49,146
FI0008803929,Evli High Yield B,Evli,EUR,"Ränte - euro obligationer, Högrisk",INTEREST_FUND,false,ACTIVE,1.07,0.95,2,4,0.5,6.3,THREE_YEAR,8745943611.89,113
FI0008804422,Evli Finnish Small Cap B,Evli,EUR,Finland,EQUITY_FUND,false,ACTIVE,1.68,1.6,4,2,-0.14,12.3,AT_LEAST_FIVE_YEARS,2726342118.11,806
FI0008804992,Ålandsbanken Euro Bond B,Ålandsbanken,EUR,"Ränte - euro obligationer, Medellånga",INTEREST_FUND,false,ACTIVE,0.69,0.69,2,4,0.08,6.63,ONE_YEAR,3794318820.85,188
FI0008805031,Ålandsbanken Europa Aktie B,Ålandsbanken,EUR,"Europa, Mix bolag",EQUITY_FUND,false,ACTIVE,1.43,1.4,4,3,0.44,10.67,AT_LEAST_FIVE_YEARS,1536190507.24,143
FI0008805650,Evli Global Multi Manager 30 Fund B,Evli,EUR,"Blandfond - euro, Försiktig, Global",MIXED_FUND,false,ACTIVE,0.76,0.75,2,4,0.34,6.67,THREE_YEAR,189369282.24,206
FI0008807722,Evli Japan B,Evli,EUR,"Japan, Små-/medelstora bolag",EQUITY_FUND,false,ACTIVE,1.68,1.6,4,4,0.99,12.85,AT_LEAST_FIVE_YEARS,156180744.85,147
FI0008808340,Ålandsbanken Kort Företagsränta,Ålandsbanken,EUR,"Ränte - euro obligationer, Korta",INTEREST_FUND,false,ACTIVE,0.45000000000000007,0.45000000000000007,2,5,-0.02,6.79,ONE_YEAR,6144008830.68,985
FI0008812607,Ålandsbanken Global Aktie B,Ålandsbanken,EUR,"Global, Mix bolag",EQUITY_FUND,false,ACTIVE,1.8399999999999999,1.81,4,2,0.43,12.839999999999998,AT_LEAST_FIVE_YEARS,19224367917.85,174
FI0008813142,Evli Sverige Småbolag B,Evli,SEK,"Sverige, Små-/medelstora bolag",EQUITY_FUND,false,ACTIVE,1.71,1.6,5,2,-0.23,14.11,AT_LEAST_FIVE_YEARS,1395250383,1155
FI0008813241,Nordea Indienfond,Nordea,SEK,Indien,EQUITY_FUND,false,ACTIVE,2.7,1.8500000000000003,4,4,0.11,14.92,FIVE_YEAR,2767294949.88,4575
FI0008813308,Nordea Kinafond,Nordea,SEK,Kina,EQUITY_FUND,false,ACTIVE,2.17,1.8500000000000003,5,2,0.08,23.37,FIVE_YEAR,1906627513.97,2180
