isin,name,period_start,period_end,first_nav,last_nav,nav_high,nav_low,total_return_pct,ann_volatility,max_drawdown_pct,current_drawdown_pct,sharpe_ratio,best_day_pct,worst_day_pct,pct_positive_days,skewness
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-03-18,2025-03-31,121.69,122.79,123.87,121.31,0.9039,8.8333,-0.9633,-0.8719,2.0161,1.4413,-0.8719,38.4615,0.9439
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-04-01,2025-04-14,122.88,120.14,123.87,119.75,-2.2298,20.9386,-3.3261,-3.0112,-1.9887,2.5303,-3.3261,38.4615,-0.5331
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-04-15,2025-04-28,120.18,122.12,122.7,120.18,1.6142,12.3164,-1.2745,-0.4727,3.0366,1.7456,-1.2745,45.4545,0.3703
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-04-29,2025-05-12,122.28,120.76,122.7,120.76,-1.2430,12.0164,-1.5811,-1.5811,-1.9614,1.4972,-1.4028,38.4615,0.1431
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-05-13,2025-05-26,120.36,120.6,121.26,120.12,0.1994,6.9959,-0.9401,-0.5443,0.5843,0.6231,-0.7587,46.1538,-0.1260
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-05-27,2025-06-09,121.0,122.07,122.07,120.89,0.8843,4.5270,-0.2710,0.0000,5.4681,0.5105,-0.2710,33.3333,0.5210
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-06-10,2025-06-23,121.54,122.86,122.98,121.21,1.0861,5.8965,-0.5794,-0.0976,4.2257,0.7838,-0.5794,45.4545,0.0010
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-06-24,2025-07-07,122.57,122.09,123.26,121.72,-0.3916,5.1719,-1.2494,-0.9492,-1.4466,0.4651,-0.6773,46.1538,-0.3972
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-07-08,2025-07-21,121.75,122.43,122.43,121.72,0.5585,3.1009,-0.3846,0.0000,3.4969,0.3196,-0.3846,69.2308,-0.6770
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-07-22,2025-08-04,122.1,123.08,123.08,121.81,0.8026,5.3142,-0.6119,0.0000,2.9414,0.6390,-0.6119,53.8462,-0.2563
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-08-05,2025-08-18,123.36,121.72,123.36,121.71,-1.3294,5.5639,-1.3375,-1.3294,-4.6348,0.5730,-0.7071,30.7692,0.4177
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-08-19,2025-09-01,121.56,122.34,122.56,121.56,0.6417,4.3985,-0.5800,-0.1795,2.8398,0.5834,-0.3847,46.1538,0.5290
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-09-02,2025-09-15,121.57,123.48,123.77,121.57,1.5711,7.4805,-0.6948,-0.2343,4.0766,0.9873,-0.6948,53.8462,-0.1215
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-09-16,2025-09-29,123.67,123.2,123.9,122.84,-0.3800,3.8538,-0.8555,-0.5650,-1.8971,0.1860,-0.7750,46.1538,-2.6999
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-09-30,2025-10-13,123.15,124.67,124.67,122.74,1.2343,5.8014,-0.5832,0.0000,4.1275,0.9801,-0.5184,38.4615,1.0728
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-10-14,2025-10-27,124.35,124.63,124.9,123.99,0.2252,4.1272,-0.7286,-0.2162,1.0755,0.5162,-0.4816,38.4615,0.3328
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-10-28,2025-11-10,124.78,123.49,124.78,123.49,-1.0338,4.9841,-1.0338,-1.0338,-4.0171,0.4275,-0.5472,30.7692,-0.0248
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-11-11,2025-11-24,124.12,123.44,124.52,122.76,-0.5479,7.7719,-1.1515,-0.8673,-1.3341,1.1535,-0.8673,38.4615,0.8478
DK0060485605,Danske Invest Globala Realräntor SEK h,2025-11-25,2025-12-08,123.52,123.49,124.52,123.26,-0.0243,5.2766,-1.0119,-0.8272,-0.0649,0.6808,-0.4523,46.1538,0.4400
