name,purchase_value,current_value
abrdn Japan Sustainable Eqty S Acc JPY,14998,26331
Amundi Fds Equity MENA A USD C,5000,9590
CPR Invest Global Gold Mines A USD Acc,8170,32383
Fidelity Asian Special Sits A-Dis-USD,5040,9781
First Sentier Glb Lstd Infra A GBP Acc,5000,8421
JPM Korea Equity A (acc) USD,22504,38747
MS INVF Global Opportunity A,20000,40083
MS INVF US Growth A USD,9999,18995
Pareto Småbolagsfond A,10000,8209
SEB Sverigefond Småbolag,9425,37478
Storebrand Global All Countries A SEK,45362,25224
Storebrand Global Solutions A SEK,118312,159028
Storebrand Japan A SEK,20000,34849
Storebrand Renewable Energy A2,11500,9984
Swedbank Robur Rysslandsfond A,300,182
Cash,100000,100000
